Name,Author,User Rating,Reviews,Price,Year,Genre,Gender
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2019,Fiction,Male
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,4.4,4571,21,2011,Non Fiction,Male
Ready Player One: A Novel,Ernest Cline,4.6,22536,12,2017,Fiction,Male
Ready Player One: A Novel,Ernest Cline,4.6,22536,12,2018,Fiction,Male
"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",F. A. Hayek,4.6,1204,14,2010,Non Fiction,Male
The Great Gatsby,F. Scott Fitzgerald,4.4,11616,7,2012,Fiction,Male
The Great Gatsby,F. Scott Fitzgerald,4.4,11616,7,2013,Fiction,Male
The Great Gatsby,F. Scott Fitzgerald,4.4,11616,7,2014,Fiction,Male
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2009,Non Fiction,Male
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2010,Non Fiction,Male
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2011,Non Fiction,Male
A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,8,2016,Fiction,Male
A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,8,2017,Fiction,Male
StrengthsFinder 2.0,Gallup,4,5069,17,2009,Non Fiction,Company
StrengthsFinder 2.0,Gallup,4,5069,17,2010,Non Fiction,Company
StrengthsFinder 2.0,Gallup,4,5069,17,2011,Non Fiction,Company
StrengthsFinder 2.0,Gallup,4,5069,17,2012,Non Fiction,Company
StrengthsFinder 2.0,Gallup,4,5069,17,2013,Non Fiction,Company
StrengthsFinder 2.0,Gallup,4,5069,17,2014,Non Fiction,Company
StrengthsFinder 2.0,Gallup,4,5069,17,2015,Non Fiction,Company
StrengthsFinder 2.0,Gallup,4,5069,17,2016,Non Fiction,Company
StrengthsFinder 2.0,Gallup,4,5069,17,2017,Non Fiction,Company
The Art of Racing in the Rain: A Novel,Garth Stein,4.7,11813,10,2010,Fiction,Male
The Art of Racing in the Rain: A Novel,Garth Stein,4.7,11813,10,2011,Fiction,Male
